# ILLUSTRATIVE / SYNTHETIC SAMPLE DATA — NOT REAL BOURSA KUWAIT PRICES.
# Hand-made placeholder daily close prices for 4 Kuwaiti banks so the pipeline
# runs end-to-end offline. Do not use these numbers for any real analysis.
# Columns: date, NBK, KFH, GBK, BOUBYAN
date,NBK,KFH,GBK,BOUBYAN
2024-01-02,1.000,0.750,0.300,0.620
2024-01-03,1.006,0.752,0.299,0.623
2024-01-04,1.011,0.748,0.301,0.625
2024-01-05,1.008,0.745,0.303,0.622
2024-01-08,1.015,0.751,0.302,0.628
2024-01-09,1.021,0.756,0.305,0.631
2024-01-10,1.018,0.759,0.304,0.629
2024-01-11,1.024,0.755,0.307,0.634
2024-01-12,1.030,0.760,0.309,0.637
2024-01-15,1.027,0.763,0.308,0.635
2024-01-16,1.033,0.758,0.311,0.640
2024-01-17,1.029,0.754,0.310,0.638
2024-01-18,1.036,0.761,0.313,0.643
2024-01-19,1.042,0.766,0.315,0.647
2024-01-22,1.039,0.762,0.314,0.645
2024-01-23,1.045,0.769,0.317,0.650
2024-01-24,1.051,0.772,0.319,0.653
2024-01-25,1.047,0.768,0.318,0.651
2024-01-26,1.054,0.774,0.321,0.656
2024-01-29,1.060,0.778,0.323,0.659
2024-01-30,1.056,0.775,0.322,0.657
2024-01-31,1.063,0.781,0.325,0.662
2024-02-01,1.058,0.777,0.324,0.660
2024-02-02,1.065,0.783,0.327,0.665
2024-02-05,1.071,0.786,0.329,0.668
2024-02-06,1.068,0.782,0.328,0.666
2024-02-07,1.074,0.788,0.331,0.671
2024-02-08,1.080,0.792,0.333,0.674
2024-02-09,1.077,0.789,0.332,0.672
2024-02-12,1.083,0.795,0.335,0.677
